1,5.3,9.9,8.2,11.8,14.5,16.2,17.8,19.5,17.5,16.9,13.5,4.7
2,5.1,10.8,7.3,14,12.9,18.1,19.2,20.4,17.8,14.4,10.3,7
3,4.9,8.9,8.1,12.5,14.6,15.5,16.3,19.6,17.7,12.9,11.1,9
4,6.1,6.7,8.9,11.1,14.5,15.4,20.3,16.5,18.7,14.6,9.4,7.6
5,7.2,6.7,6.4,10.7,13.4,14.2,17.9,17.2,17.1,14.8,9.1,8.7
6,11.4,8.5,6.5,9.4,13.3,15.5,21,15.4,16.7,13.5,12.7,13.3
7,10.3,7.3,11.5,11.5,18,15.2,17.6,17.9,15.8,13.4,12.4,13.5
8,10.8,8.3,13.1,16.2,11.6,18.2,20.4,16.8,15.7,14.1,10.8,2.6
9,9.4,5.9,11.8,13.1,11.9,18.1,19.8,19.9,16.9,14.4,11.5,2.8
10,10.7,3.5,12.4,11.9,14.6,19.8,16.4,17.7,15.5,14.5,11.5,3.9
11,11,4.6,11.6,11.2,16.5,16.8,14.7,20.4,15.8,14.9,8.3,3.6
12,4.7,5,10.9,13.8,13.7,17.4,18.9,17.7,13.8,16.5,7.2,5.8
13,3.2,8.1,14.2,10.5,14.7,19.8,20.1,17.4,14,19.1,8.8,6.4
14,6.6,7.6,13.6,12.4,15.8,20.1,19.9,19.3,14.4,18.5,12.2,5.4
15,10,11.9,15.9,11.8,18.5,17,24,19.4,14.5,16.1,10.7,6
16,9.7,9.1,11.2,12.3,17.5,20.6,19.3,19.5,11.2,17.1,10.4,6
17,9.9,11.9,11.2,10.9,16.3,25.2,23,19.9,14.6,13.5,6.9,10.7
18,9.4,11.8,12.2,11.1,13.4,23.4,22.7,16,15.7,13.2,7.9,8.7
19,7.5,12,12.8,13.6,14.2,23.4,19.2,17.5,18.3,14.2,9.9,11.5
20,8.1,12.7,10.2,13.6,14.6,18.2,16.1,14.9,17.7,12.9,13.9,11.9
21,4,12.6,7.2,12.5,16.3,26.1,15.8,19,15.1,12.6,13.8,11.8
22,5.1,10.9,4.6,11.8,18.7,18.3,17.8,19,17.7,12.4,11.2,10.8
23,10.5,10.2,8.4,12.7,20.2,18.2,20,19.6,17.1,16,6.3,11
24,11.6,8.1,9.4,9.6,19.7,19.2,22,18.1,18.2,15.7,3.9,11.3
25,10.9,12,11.5,9.7,22.8,17,18,17.8,17.8,13.4,4.3,11.5
26,7,12,10.9,8.9,22.8,15.5,18.9,19.2,15.9,12.7,8.7,4.6
27,8.6,5.8,11.5,11.1,15.2,21.3,16.8,21,14.1,12,8.3,3.6
28,6,8.1,12.5,10.2,15.2,13.8,18.4,20.3,16.6,13.6,6.5,3
